t,x,y
0.00E+00,7.72E-06,1.76E-05
3.33E-01,7.57E-06,1.68E-05
6.67E-01,7.01E-06,1.69E-05
1.00E+00,7.02E-06,1.72E-05
1.33E+00,6.69E-06,1.64E-05
1.67E+00,6.36E-06,1.68E-05
2.00E+00,5.38E-06,1.71E-05
2.33E+00,5.87E-06,1.76E-05
2.67E+00,5.58E-06,1.77E-05
3.00E+00,5.24E-06,1.86E-05
3.33E+00,4.26E-06,1.84E-05
3.67E+00,4.08E-06,1.80E-05
4.00E+00,3.73E-06,1.87E-05
4.33E+00,3.05E-06,1.80E-05
4.67E+00,2.72E-06,1.79E-05
5.00E+00,2.77E-06,1.82E-05
5.33E+00,3.31E-06,1.79E-05
5.67E+00,3.04E-06,1.74E-05
6.00E+00,2.63E-06,1.71E-05
6.33E+00,3.03E-06,1.77E-05
6.67E+00,3.23E-06,1.76E-05
7.00E+00,2.74E-06,1.88E-05
7.33E+00,3.44E-06,1.79E-05
7.67E+00,2.49E-06,1.84E-05
8.00E+00,1.67E-06,1.93E-05
8.33E+00,1.24E-06,1.96E-05
8.67E+00,6.14E-07,2.03E-05
9.00E+00,7.99E-07,1.98E-05
9.33E+00,6.81E-07,2.06E-05
9.67E+00,7.17E-07,2.04E-05
1.00E+01,6.32E-07,2.04E-05
1.03E+01,5.41E-08,2.06E-05
1.07E+01,1.31E-06,2.03E-05
1.10E+01,6.01E-07,2.08E-05
1.13E+01,-1.88E-07,2.06E-05
1.17E+01,-9.49E-07,2.02E-05
1.20E+01,-1.50E-06,1.98E-05
1.23E+01,-2.12E-06,1.94E-05
1.27E+01,-1.79E-06,1.97E-05
1.30E+01,-1.49E-06,2.04E-05
1.33E+01,-1.74E-06,2.02E-05
1.37E+01,-2.04E-06,2.11E-05
1.40E+01,-2.31E-06,2.03E-05
1.43E+01,-1.84E-06,2.01E-05
1.47E+01,-1.41E-06,2.01E-05
1.50E+01,-1.91E-06,1.97E-05
1.53E+01,-2.54E-06,1.88E-05
1.57E+01,-2.62E-06,1.98E-05
1.60E+01,-3.00E-06,1.98E-05
1.63E+01,-2.65E-06,1.96E-05
1.67E+01,-2.59E-06,1.94E-05
1.70E+01,-2.86E-06,2.01E-05
1.73E+01,-3.37E-06,1.95E-05
1.77E+01,-3.97E-06,2.01E-05
1.80E+01,-2.76E-06,2.06E-05
1.83E+01,-3.15E-06,1.98E-05
1.87E+01,-2.93E-06,1.91E-05
1.90E+01,-3.01E-06,1.96E-05
1.93E+01,-3.49E-06,2.00E-05
1.97E+01,-3.86E-06,2.11E-05
2.00E+01,-3.96E-06,2.02E-05
2.03E+01,-4.06E-06,2.05E-05
2.07E+01,-4.58E-06,2.10E-05
2.10E+01,-4.39E-06,2.10E-05
2.13E+01,-4.59E-06,2.14E-05
2.17E+01,-5.27E-06,2.18E-05
2.20E+01,-4.98E-06,2.21E-05
2.23E+01,-4.84E-06,2.22E-05
2.27E+01,-4.27E-06,2.19E-05
2.30E+01,-4.08E-06,2.14E-05
2.33E+01,-3.67E-06,2.09E-05
2.37E+01,-4.03E-06,2.13E-05
2.40E+01,-4.40E-06,2.17E-05
2.43E+01,-5.11E-06,2.12E-05
2.47E+01,-4.38E-06,2.15E-05
2.50E+01,-4.37E-06,2.18E-05
2.53E+01,-3.47E-06,2.12E-05
2.57E+01,-4.44E-06,2.08E-05
2.60E+01,-4.29E-06,2.12E-05
2.63E+01,-3.93E-06,2.11E-05
2.67E+01,-4.45E-06,2.12E-05
2.70E+01,-5.21E-06,2.22E-05
2.73E+01,-5.38E-06,2.20E-05
2.77E+01,-4.27E-06,2.13E-05
2.80E+01,-4.48E-06,2.12E-05
2.83E+01,-5.21E-06,2.14E-05
2.87E+01,-5.01E-06,2.15E-05
2.90E+01,-5.83E-06,2.16E-05
2.93E+01,-5.41E-06,2.17E-05
2.97E+01,-5.81E-06,2.26E-05
3.00E+01,-6.29E-06,2.28E-05
3.03E+01,-6.71E-06,2.38E-05
3.10E+01,-7.30E-06,2.41E-05
3.17E+01,-7.29E-06,2.49E-05
3.27E+01,-7.52E-06,2.67E-05
3.30E+01,-8.00E-06,2.67E-05
3.33E+01,-8.95E-06,2.72E-05
3.37E+01,-9.10E-06,2.80E-05
3.40E+01,-9.59E-06,2.77E-05
3.43E+01,-9.99E-06,2.78E-05
3.47E+01,-1.04E-05,2.76E-05
3.50E+01,-8.97E-06,2.82E-05
3.53E+01,-9.28E-06,2.78E-05
3.57E+01,-9.00E-06,2.82E-05
3.60E+01,-9.28E-06,2.91E-05
3.63E+01,-9.59E-06,2.91E-05
3.67E+01,-9.66E-06,2.93E-05
3.70E+01,-1.07E-05,2.94E-05
3.73E+01,-1.11E-05,3.00E-05
3.77E+01,-1.08E-05,3.03E-05
3.80E+01,-1.14E-05,3.06E-05
3.83E+01,-1.19E-05,3.22E-05
3.87E+01,-1.16E-05,3.26E-05
3.90E+01,-1.18E-05,3.32E-05
3.93E+01,-1.24E-05,3.35E-05
3.97E+01,-1.33E-05,3.43E-05
4.00E+01,-1.34E-05,3.48E-05
4.03E+01,-1.35E-05,3.47E-05
4.07E+01,-1.37E-05,3.43E-05
4.10E+01,-1.34E-05,3.52E-05
4.13E+01,-1.42E-05,3.63E-05
4.17E+01,-1.43E-05,3.61E-05
4.20E+01,-1.43E-05,3.63E-05
4.23E+01,-1.38E-05,3.58E-05
4.27E+01,-1.33E-05,3.63E-05
4.30E+01,-1.35E-05,3.67E-05
4.33E+01,-1.37E-05,3.64E-05
4.37E+01,-1.37E-05,3.65E-05
4.40E+01,-1.42E-05,3.67E-05
4.43E+01,-1.39E-05,3.64E-05
4.47E+01,-1.31E-05,3.69E-05
4.50E+01,-1.39E-05,3.69E-05
4.53E+01,-1.45E-05,3.70E-05
4.57E+01,-1.40E-05,3.80E-05
4.60E+01,-1.37E-05,3.84E-05
4.63E+01,-1.44E-05,3.86E-05
4.67E+01,-1.50E-05,3.98E-05
4.70E+01,-1.54E-05,4.07E-05
4.73E+01,-1.61E-05,4.06E-05
4.77E+01,-1.53E-05,4.01E-05
4.80E+01,-1.66E-05,4.05E-05
4.83E+01,-1.69E-05,4.10E-05
4.87E+01,-1.76E-05,4.10E-05
4.90E+01,-1.76E-05,4.15E-05
4.93E+01,-1.71E-05,4.22E-05
4.97E+01,-1.79E-05,4.29E-05
5.00E+01,-1.78E-05,4.37E-05
5.03E+01,-1.88E-05,4.33E-05
5.07E+01,-1.98E-05,4.37E-05
5.10E+01,-1.96E-05,4.42E-05
5.13E+01,-1.99E-05,4.46E-05
5.17E+01,-1.99E-05,4.50E-05
5.20E+01,-2.09E-05,4.54E-05
5.23E+01,-2.16E-05,4.60E-05
5.27E+01,-2.22E-05,4.59E-05
5.30E+01,-2.29E-05,4.55E-05
5.33E+01,-2.33E-05,4.62E-05
5.37E+01,-2.33E-05,4.61E-05
5.40E+01,-2.38E-05,4.69E-05
5.43E+01,-2.42E-05,4.69E-05
5.47E+01,-2.47E-05,4.70E-05
5.50E+01,-2.38E-05,4.77E-05
5.53E+01,-2.38E-05,4.75E-05
5.57E+01,-2.38E-05,4.85E-05
5.60E+01,-2.42E-05,4.89E-05
5.63E+01,-2.45E-05,4.90E-05
5.67E+01,-2.50E-05,4.90E-05
