time,V_tc
0.0010976791,-1.1026e-05
15.001531,-1.1965e-05
30.012226,-1.2434e-05
45.001395,-1.2624e-05
60.002185,-1.4198e-05
75.000591,-1.4819e-05
90.00081,-1.4388e-05
105.00062,-1.4934e-05
120.00077,-1.5834e-05
135.0012,-1.5276e-05
150.00082,-1.6063e-05
165.00028,-1.6101e-05
180.00137,-1.6634e-05
195.00111,-1.6811e-05
210.0004,-1.7014e-05
225.00089,-1.7129e-05
240.00083,-1.7522e-05
255.00036,-1.775e-05
270.00064,-1.7852e-05
285.00082,-1.7953e-05
300.00027,-1.8524e-05
314.99979,-1.8816e-05
330.00108,-1.8994e-05
345.00047,-1.9349e-05
359.99986,-1.9463e-05
375.00015,-1.9235e-05
390.0003,-1.9565e-05
404.99984,-1.973e-05
419.99983,-2.0072e-05
434.99971,-1.9882e-05
450.0003,-2.0021e-05
464.99952,-1.9983e-05
479.99945,-2.0288e-05
494.99945,-1.9857e-05
509.99988,-2.0427e-05
524.99945,-2.0973e-05
539.99959,-2.0973e-05
554.99997,-2.1252e-05
570.0,-2.1037e-05
584.99976,-2.0922e-05
599.99975,-2.1075e-05
614.99927,-2.1062e-05
629.99915,-2.0986e-05
644.9992,-2.0732e-05
659.99979,-2.058e-05
675.00051,-2.0237e-05
689.99907,-1.8372e-05
704.99873,-1.7865e-05
719.99883,-1.7623e-05
734.99907,-1.6875e-05
749.99906,-1.605e-05
764.9988,-1.5885e-05
779.99932,-1.4921e-05
794.99868,-1.383e-05
809.99876,-1.3792e-05
824.99848,-1.2904e-05
839.99885,-1.2675e-05
854.99884,-1.166e-05
869.99924,-1.1724e-05
884.99917,-1.1241e-05
899.99842,-1.1216e-05
914.99928,-1.0861e-05
929.99851,-1.0607e-05
944.9987,-9.579e-06
959.9983,-1.0658e-05
974.99822,-8.767e-06
989.99846,-8.425e-06
1004.9987,-8.082e-06
1019.9981,-7.752e-06
1034.9981,-8.679e-06
1049.998,-8.704e-06
1064.9987,-8.843e-06
1079.9981,-9.643e-06
1094.9979,-9.655e-06
1109.9985,-1.0163e-05
1124.9984,-1.0214e-05
1140.0091,-1.0226e-05
1155.0104,-1.0379e-05
1170.0009,-1.0049e-05
1184.9978,-1.0721e-05
1199.9982,-1.0493e-05
1214.9981,-1.0468e-05
1229.9982,-1.0937e-05
1244.9981,-1.1203e-05
