time,V_tc
0.0010104179,-1.468e-05
0.0011291504,-1.4946e-05
10.000623,-1.4743e-05
20.00072,-1.4769e-05
30.000432,-1.4629e-05
40.001161,-1.4591e-05
50.000917,-1.5035e-05
60.001182,-1.4832e-05
70.0011,-1.4959e-05
80.000959,-1.4413e-05
90.000571,-1.4413e-05
100.00031,-1.4477e-05
110.0005,-1.4337e-05
120.00076,-1.4642e-05
130.00066,-1.4693e-05
140.00014,-1.4515e-05
150.00016,-1.4375e-05
160.00038,-1.4223e-05
170.00044,-1.435e-05
180.00038,-1.4832e-05
190.00057,-1.4705e-05
200.00058,-1.4819e-05
210.00078,-1.4655e-05
220.00072,-1.4591e-05
230.00043,-1.468e-05
240.00029,-1.4705e-05
250.001,-1.4616e-05
260.00016,-1.468e-05
270.0006,-1.4413e-05
280.00026,-1.4832e-05
290.00055,-1.4591e-05
300.00033,-1.4426e-05
309.99984,-1.3842e-05
320.00027,-1.4287e-05
330.0003,-1.4147e-05
340.00018,-1.4477e-05
350.00064,-1.4185e-05
360.00021,-1.4451e-05
369.99962,-1.435e-05
379.99975,-1.4388e-05
389.99973,-1.4223e-05
400.00078,-1.4223e-05
410.0003,-1.4172e-05
420.00036,-1.4261e-05
430.0002,-1.3906e-05
439.99937,-1.402e-05
449.99961,-1.3728e-05
459.99974,-1.4071e-05
470.00029,-1.4642e-05
479.99995,-1.4236e-05
489.99927,-1.3868e-05
500.00001,-1.3678e-05
509.99968,-1.3272e-05
519.9994,-1.3157e-05
530.00005,-1.2295e-05
540.0,-1.2256e-05
549.99993,-1.2104e-05
559.99998,-1.1965e-05
569.99941,-1.1736e-05
579.99907,-1.1546e-05
589.99904,-1.0962e-05
599.99987,-1.0759e-05
609.99926,-1.0468e-05
619.99978,-1.0468e-05
629.99963,-9.985e-06
639.99949,-9.706e-06
649.99926,-9.186e-06
659.99944,-9.44e-06
669.99916,-9.135e-06
679.9989,-9.313e-06
689.99972,-8.717e-06
699.99962,-8.843e-06
709.99976,-8.526e-06
719.99875,-8.755e-06
729.99914,-8.158e-06
739.99898,-8.044e-06
749.99937,-7.778e-06
759.99933,-8.247e-06
769.99933,-7.702e-06
779.99942,-7.296e-06
789.99877,-7.054e-06
799.9991,-7.232e-06
809.99868,-6.94e-06
819.99928,-6.648e-06
829.9991,-6.217e-06
839.99917,-6.522e-06
849.99868,-6.522e-06
859.99891,-6.598e-06
869.99838,-5.925e-06
879.99858,-6.484e-06
889.99922,-5.989e-06
899.99899,-5.786e-06
909.99887,-6.103e-06
919.99921,-5.938e-06
929.99941,-5.874e-06
939.99891,-5.697e-06
949.99944,-5.532e-06
959.9985,-5.024e-06
969.99856,-4.796e-06
979.99866,-4.936e-06
989.99814,-5.215e-06
999.99806,-4.339e-06
1009.9986,-4.669e-06
1019.9985,-5.126e-06
1029.9987,-4.618e-06
1039.9987,-4.2e-06
1049.9986,-4.06e-06
1059.9985,-4.022e-06
1069.9986,-3.959e-06
1079.9979,-3.832e-06
1089.999,-3.692e-06
1099.9983,-3.806e-06
1109.999,-3.54e-06
1119.9983,-3.654e-06
1129.9984,-3.489e-06
1139.9982,-3.933e-06
1149.9979,-3.959e-06
1159.9984,-3.806e-06
1169.9978,-3.895e-06
1179.9981,-4.085e-06
1189.9988,-4.403e-06
1199.9978,-4.314e-06
1209.9985,-3.997e-06
1219.9982,-4.111e-06
1229.9982,-3.895e-06
1239.9981,-3.882e-06
1249.9988,-4.085e-06
1259.9983,-4.009e-06
1269.9979,-3.984e-06
1279.9977,-3.933e-06
1289.9981,-4.022e-06
1299.9985,-3.616e-06
1309.9982,-3.578e-06
1319.9982,-3.35e-06
1329.9977,-3.921e-06
1339.9978,-4.06e-06
1349.9977,-4.492e-06
1359.9978,-4.631e-06
1369.9977,-5.037e-06
1379.9976,-5.532e-06
1389.9976,-5.849e-06
1399.9977,-6.255e-06
1409.9978,-6.928e-06
1419.998,-7.359e-06
1429.9977,-6.991e-06
1439.998,-7.283e-06
1449.9973,-7.435e-06
1459.9977,-7.473e-06
1469.9977,-7.41e-06
1479.9977,-7.537e-06
1489.9975,-7.803e-06
1499.9971,-7.752e-06
1509.9974,-8.031e-06
1519.9973,-8.247e-06
1529.9969,-8.196e-06
1539.9976,-8.057e-06
1549.997,-8.552e-06
1559.9969,-8.209e-06
1569.9973,-8.349e-06
1579.997,-8.64e-06
1589.9973,-8.945e-06
1599.9978,-8.767e-06
1609.9974,-9.021e-06
1619.9975,-9.224e-06
1629.9976,-9.376e-06
1639.9968,-9.541e-06
1649.9973,-9.237e-06
1659.9968,-9.897e-06
1669.9973,-9.77e-06
1679.9972,-9.935e-06
1689.9972,-9.795e-06
1699.997,-9.63e-06
1709.9976,-9.846e-06
1719.9965,-9.681e-06
1729.9967,-1.0087e-05
1739.9965,-9.414e-06
1749.9964,-1.0645e-05
1759.9968,-1.0353e-05
1769.9973,-1.0125e-05
1779.9967,-9.985e-06
1789.9976,-1.0277e-05
1799.9963,-1.0315e-05
1809.9971,-1.0442e-05
1819.9971,-1.0709e-05
1829.9962,-1.0531e-05
1839.9965,-1.0569e-05
1849.9962,-1.0709e-05
1859.9966,-1.0442e-05
1869.9967,-1.0632e-05
1879.9964,-1.0518e-05
1889.9963,-1.0797e-05
1899.9966,-1.0455e-05
1909.996,-1.048e-05
1919.9965,-1.1051e-05
1929.9965,-1.1064e-05
1939.9962,-1.0975e-05
1949.9961,-1.1178e-05
1959.9962,-1.0937e-05
1969.9967,-1.1292e-05
1979.9965,-1.1343e-05
1989.9963,-1.1127e-05
1999.9962,-1.1508e-05
2009.9965,-1.0823e-05
2019.9974,-1.0988e-05
2029.9968,-1.0848e-05
2039.9965,-1.0975e-05
2049.9965,-1.1038e-05
2059.9961,-1.0632e-05
2069.997,-1.1038e-05
2079.9965,-1.0671e-05
2089.996,-1.0912e-05
2099.9962,-1.0683e-05
2109.9962,-1.0607e-05
2119.9964,-1.0861e-05
2129.9963,-1.0607e-05
2139.996,-1.0797e-05
2149.9962,-1.0455e-05
2159.9965,-1.0721e-05
2169.9957,-1.0924e-05
2179.9959,-1.0747e-05
2189.9955,-1.062e-05
2199.9962,-1.0797e-05
2209.9962,-1.0734e-05
2219.9956,-1.114e-05
2229.9957,-1.1153e-05
2239.9961,-1.0569e-05
2249.9955,-1.0417e-05
2259.9962,-1.0391e-05
2269.9959,-1.1254e-05
2279.9957,-1.1609e-05
